File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 0 (0.00%), 0 (0.00%), 9950 (2.64%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 363836 (96.41%), 13561 (3.59%), 377397
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_row_layer,test1,1125.000000,1125.000000,1125.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_column_layer,test1,375.000000,375.000000,375.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
attention_row_layer,test1,376.000000,376.000000,376.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
mlp_column_layer,test1,923.000000,923.000000,923.000000,12.810000,0.000000,12.810000,12.810000,1524.687744,762.343872,0.000000,-nan,0.000000,12.810000,1524.687744,762.343872,377397.126000
