File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
test1, 165329 (44.48%), 0 (0.00%), 182416 (49.08%), 23936 (6.44%), 0 (0.00%), 0 (0.00%), 0 (0.00%), 371682 (100.00%), 371682
layer_name,test1,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw,workload finished at
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
final_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
embedding_norm,test1,0.001000,0.001000,0.001000,7540.786000,0.000000,0.000000,7540.786000,40.470024,40.470024,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
embedding_layer,test1,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
attention_column,test1,0.001000,0.001000,0.001000,484.453000,0.000000,0.000000,484.453000,80.632179,40.316090,0.000000,-nan,0.000000,0.000000,-nan,0.000000,371682.482000
attention_row,test1,0.001000,0.001000,0.001000,187.583000,0.000000,0.000000,187.583000,208.241150,104.120575,0.000000,-nan,0.000000,0.000000,inf,0.000000,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,14.167000,0.000000,14.167000,14.167000,68.932205,34.466103,0.000000,-nan,0.000000,14.167000,68.932205,34.466103,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,94.377000,0.000000,94.377000,94.377000,206.949249,103.474625,0.000000,-nan,0.000000,94.377000,206.949249,103.474625,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,966.798000,0.000000,1931.488000,966.798000,80.807983,40.403992,0.000000,-nan,0.000000,1931.488000,80.896179,40.448090,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,966.798000,373.997000,208.892044,104.446022,0.000000,-nan,0.000000,966.798000,80.807983,40.403992,371682.482000
mlp_moelayer,test1,0.001000,0.001000,0.001000,373.997000,0.000000,373.997000,373.997000,208.892044,202.364166,0.000000,-nan,0.000000,373.997000,208.892044,202.364166,371682.482000
